name,singer,lyric
Nhạc Tình Đêm Mưa,Hà Thanh Xuân,Mưa vẫn rơi rơi. Mưa giữa đêm khuya. Như tiếng tơ buông não nề. Khóc cho duyên nợ chia lìa. Giọt mưa vẫn rơi rơi. Bên mái hiên xưa. Đôi mắt ai vương u buồn. Tiếc thương cuộc tình cuối mùa. Nhạc mưa khẽ ru lời ngân nga. Nhạc mưa rớt trên ân tình phôi pha. Lòng tan nát như nghìn phiếm vỡ. Từ trong gió mưa mang về nỗi nhớ. Bàn chân ai bước trong mộng mê. Lối đi về chốn cũ riêng ta lặng nghe. Từng giọt mưa từng giọt mưa rơi. Từ mắt lệ khóc ai khi tình chưa phai. Mưa vẫn rơi rơi. Mưa giữa đêm khuya. Như tiếng tơ buông não nề. Khóc cho duyên nợ chia lìa. Giọt mưa vẫn rơi rơi. Bên mái hiên xưa. Đôi mắt ai vương u buồn. Tiếc thương cuộc tình cuối mùa. Nhạc mưa khẽ ru lời ngân nga. Nhạc mưa rớt trên ân tình phôi pha. Lòng tan nát như nghìn phiếm vỡ. Từ trong gió mưa mang về nỗi nhớ. Bàn chân ai bước trong mộng mê. Lối đi về chốn cũ riêng ta lặng nghe. Từng giọt mưa từng giọt mưa rơi. Từ mắt lệ khóc ai khi tình chưa phai. Từng giọt mưa từng giọt mưa rơi. Từ mắt lệ khóc ai khi tình chưa phai. Từng giọt mưa từng giọt mưa rơi. Từ mắt lệ khóc ai khi tình chưa phai
Như Hoa Mùa Xuân,"Hồ Ngọc Hà, Thủy Tiên, Minh Hằng",Xuân mang niềm vui đến. Xuân mang tình yêu tới. Muôn chim hòa ca trong nắng mới. Hoa mai đào khoe sắc. Hương xuân tràn ngây ngất. Ta nghe trong lòng rộn ràng rất vui. Xuân cho màu xanh lá. Con tim bình yên quá. Phương xa người về quê đón tết. Ngân vang ngàn câu chúc. Cho gia đình sung túc. Hân hoan chào mùa xuân mới sang. Xuân đang về trên lối. Cho tâm hồn phơi phới. Rộn rã hát ca bao điệu nhạc xuân vui. Ô kìa mùa xuân đơm hoa. Mùa cây trái. Nắng chiếu lấp lánh trên cành ban. Nhà nhà hạnh phúc. Đón xuân vừa sang. Đón thêm bao điều bình an. Chúc nhau không phiền lo. Gia đình luôn ấm no. Chúc nhau nhiều điều may. Trái tim yêu thật nồng say. Vui xuân vầy đón tết này. Mùa xuân về mang bình an qua đây. Người người cùng đón. Tết xuân về đây. Nắng xuân tô hồng trời mây. Pháo hoa reo mùa xuân. Quây quần bên bánh chưng. Hát khúc ca mừng xuân. Trái tim thêm bừng rộn vui. Thấy yêu người cất tiếng cười. Mùa xuân tràn dâng. Về đây tươi mới yêu đời. Xuân cho màu xanh lá. Con tim bình yên quá. Phương xa người về quê đón tết. Ngân vang ngàn câu chúc. Cho gia đình sung túc. Hân hoan chào mùa xuân mới sang. Xuân đang về trên lối. Cho tâm hồn phơi phới. Rộn rã hát ca bao điệu nhạc xuân vui. Ô kìa mùa xuân đơm hoa. Mùa cây trái. Nắng chiếu lấp lánh trên cành ban. Nhà nhà hạnh phúc. Đón xuân vừa sang. Đón thêm bao điều bình an. Chúc nhau không phiền lo. Gia đình luôn ấm no. Chúc nhau nhiều điều may. Trái tim yêu thật nồng say. Vui xuân vầy đón tết này. Mùa xuân về mang bình an qua đây. Người người cùng đón. Tết xuân về đây. Nắng xuân tô hồng trời mây. Pháo hoa reo mùa xuân. Quây quần bên bánh chưng. Hát khúc ca mừng xuân. Trái tim thêm bừng rộn vui. Thấy yêu người cất tiếng cười. Mùa xuân tràn căng. Về đây tươi mới. Nhà nhà hạnh phúc. Đón xuân vừa sang. Đón thêm bao điều bình an. Chúc nhau không phiền lo. Gia đình luôn ấm no. Chúc nhau nhiều điều may. Trái tim yêu thật nồng say. Vui xuân vầy đón tết này. Mùa xuân về mang bình an qua đây. Người người cùng đón. Tết xuân về đây. Nắng xuân tô hồng trời mây. Pháo hoa reo mùa xuân. Quây quần bên bánh chưng. Hát khúc ca mừng xuân. Trái tim thêm bừng rộn vui. Thấy yêu người cất tiếng cười. Mùa xuân tràn căng. Về đây tươi mới yêu đời
Giai Điệu Mùa Xuân,Noo Phước Thịnh,Cành mai tươi thắm đón xuân về đây. Lộc xuân cho ta những điều may. Đàn chim én tung bay hòa ca. Hân hoan đùa vui. Mọi người náo nức vì xuân sắp về. Rộn ràng tiếng nói trẻ thơ mọi nơi. Cùng nhau hát yêu thương. Hòa nhịp câu ca. Tràn ngập trong tim chúng ta. Mùa xuân đến với bao điều mới. Mùa xuân mang đến. Bao nhiêu niềm vui. Và may mắn sẽ luôn bên ta. Đào mai khoe sắc. Muôn ngàn hoa đua nở. Muôn loài chim cất tiếng hót. Tràn ngập ánh sáng. Phút giao mùa hòa chung. Bao con tim. Tay cầm tay hân hoan. Chào xuân sắp về. Mùa xuân đang đến. Mang tình yêu khắp chốn. Mang mọi điều may mắn đến. Chúc tết yên vui. Cùng vui xuân hòa ca khắp trời. Cùng nhau đón chúa xuân đang về. Cành mai tươi thắm đón xuân về đây. Lộc xuân cho ta những điều may. Đàn chim én tung bay hòa ca. Hân hoan đùa vui. Mọi người náo nức vì xuân sắp về. Rộn ràng tiếng nói trẻ thơ mọi nơi. Cùng nhau hát yêu thương. Hòa nhịp câu ca. Tràn ngập trong tim chúng ta. Mùa xuân đến với bao điều mới. Mùa xuân mang đến. Bao nhiêu niềm vui. Và may mắn sẽ luôn bên ta. Đào mai khoe sắc. Muôn ngàn hoa đua nở. Muôn loài chim cất tiếng hót. Tràn ngập ánh sáng. Phút giao mùa hòa chung. Bao con tim. Tay cầm tay hân hoan. Chào xuân sắp về. Mùa xuân đang đến. Mang tình yêu khắp chốn. Mang mọi điều may mắn đến. Chúc tết yên vui. Cùng vui xuân hòa ca khắp trời. Cùng nhau đón chúa xuân đang về. Đào mai khoe sắc. Muôn ngàn hoa đua nở. Muôn loài chim cất tiếng hót. Tràn ngập ánh sáng. Phút giao mùa hòa chung. Bao con tim. Tay cầm tay hân hoan. Chào xuân sắp về. Mùa xuân đang đến. Mang tình yêu khắp chốn. Mang mọi điều may mắn đến. Chúc tết yên vui. Cùng vui xuân hòa ca khắp trời. Cùng nhau đón xuân an lành
Mùa Xuân Ơi Mùa Xuân,Bé Thảo Nguyên,Hãy đến mùa xuân ơi. Cho nụ cười càng thêm trong sáng. Thắm thiết tình yêu thương. Bên bạn bè bên những em thơ. Một cơn gió thoáng theo xuân gọi về. Ngoài hiên tia nắng ban mai dịu dàng. Cùng theo năm tháng xa xa trở về. Mừng mùa xuân đến. Nụ hoa chiếc lá xôn xao nhè nhẹ. Dòng sông êm ái trôi nhanh gần đều. Loài chim cất tiếng yêu thương một ngày. Mùa xuân có hay. Hãy đến mùa xuân ơi. Cho nụ cười càng thêm trong sáng. Thắm thiết tình yêu thương. Bên bạn bè bên những em thơ. Hãy đến mùa xuân ơi. Trong nụ cười và trong ánh mắt. Vẫn mãi ngày xuân xanh. Như từng ngày bên những yêu thương. Mùa xuân hoa nở hương thơm ngào ngạt. Từ trong góc phố trao nhau nụ cười. Hòa trọn khúc hát thân thương hiền hòa. Mùa xuân có nhớ. Nhìn ai đôi mắt trao nhau kỷ niệm. Tựa như chiếc lá xanh xanh dịu hiền. Tìm trong cơn gió theo xuân trở về. Mùa xuân có hay. Hãy đến mùa xuân ơi. Cho nụ cười càng thêm trong sáng. Thắm thiết tình yêu thương. Bên bạn bè bên những em thơ. Hãy đến mùa xuân ơi. Trong nụ cười và trong ánh mắt. Vẫn mãi ngày xuân xanh. Như từng ngày bên những yêu thương. Một cơn gió thoáng theo xuân gọi về. Ngoài hiên tia nắng ban mai dịu dàng. Cùng theo năm tháng xa xa trở về. Mừng mùa xuân đến. Nụ hoa chiếc lá xôn xao nhè nhẹ. Dòng sông êm ái trôi nhanh gần đều. Loài chim cất tiếng yêu thương một ngày. Mùa xuân có hay. Hãy đến mùa xuân ơi. Cho nụ cười càng thêm trong sáng. Thắm thiết tình yêu thương. Bên bạn bè bên những em thơ. Hãy đến mùa xuân ơi. Trong nụ cười và trong ánh mắt. Vẫn mãi ngày xuân xanh. Như từng ngày bên những yêu thương. Mùa xuân hoa nở hương thơm ngào ngạt. Từ trong góc phố trao nhau nụ cười. Hòa trọn khúc hát thân thương hiền hòa. Mùa xuân có nhớ. Nhìn ai đôi mắt trao nhau kỷ niệm. Tựa như chiếc lá xanh xanh dịu hiền. Tìm trong cơn gió theo xuân trở về. Mùa xuân có hay. Hãy đến mùa xuân ơi. Cho nụ cười càng thêm trong sáng. Thắm thiết tình yêu thương. Bên bạn bè bên những em thơ. Hãy đến mùa xuân ơi. Trong nụ cười và trong ánh mắt. Vẫn mãi ngày xuân xanh. Như từng ngày bên những yêu thương. Hãy đến mùa xuân ơi. Cho nụ cười càng thêm trong sáng. Thắm thiết tình yêu thương. Bên bạn bè bên những em thơ. Hãy đến mùa xuân ơi. Trong nụ cười và trong ánh mắt. Vẫn mãi ngày xuân xanh. Như từng ngày bên những yêu thương
"Mùa Xuân, Mùa Xuân",Mỹ Tâm,Hãy đến mùa xuân ơi. Cho nụ cười càng thêm trong sáng. Thắm thiết tình yêu thương. Bên bạn bè bên những em thơ. Một cơn gió thoáng. Theo xuân gợi về. Ngoài hiên tia nắng. Ban mai dịu dàng. Cùng theo năm tháng. Xa xa trở về. Mừng mùa xuân đến. Nụ hoa trên lá xôn xao nhẹ nhẹ. Dòng sông êm ái. Trôi nhanh gợn đều. Loài chim cất tiếng. Yêu thương một ngày. Mùa xuân có hay. Hãy đến mùa xuân ơi. Cho nụ cười càng thêm trong sáng. Thắm thiết tình yêu thương. Bên bạn bè bên những em thơ. Hãy đến mùa xuân ơi. Trong nụ cười và trong ánh mắt. Vẫn mãi ngày xuân xanh. Như từng ngày. Bên những yêu thương. Mùa xuân hoa nở. Hương thơm ngào ngạt. Tìm trong góc phố. Trông nhau nụ cười. Hòa trộn khúc hát. Thân thương hiền hòa. Mùa xuân có nhớ. Nhìn ai đôi mắt. Trao nhau kỷ niệm. Tựa như chiếc lá. Xanh xanh dịu hiền. Tìm trong cơn gió. Theo xuân trở về. Mùa xuân có hay. Hãy đến mùa xuân ơi. Cho nụ cười càng thêm trong sáng. Thắm thiết tình yêu thương. Bên bạn bè bên những em thơ. Hãy đến mùa xuân ơi. Trong nụ cười và trong ánh mắt. Vẫn mãi ngày xuân xanh. Như từng ngày. Bên những yêu thương. Một cơn gió thoáng. Theo xuân gợi về. Ngoài hiên tia nắng. Ban mai dịu dàng. Cùng theo năm tháng. Xa xa trở về. Mừng mùa xuân đến. Nụ hoa trên lá. Xôn xao nhẹ nhẹ. Dòng sông êm ái. Trôi nhanh gợn đều. Loài chim cất tiếng. Yêu thương một ngày. Mùa xuân có hay. Hãy đến mùa xuân ơi. Cho nụ cười càng thêm trong sáng. Thắm thiết tình yêu thương. Bên bạn bè bên những em thơ. Hãy đến mùa xuân ơi. Trong nụ cười và trong ánh mắt. Vẫn mãi ngày xuân xanh. Như từng ngày. Bên những yêu thương. Mùa xuân hoa nở. Hương thơm ngào ngạt. Từng trong góc phố. Trông nhau nụ cười. Hòa trộn khúc hát. Thân thương hiền hòa. Mùa xuân có nhớ. Nhìn ai đôi mắt. Trao nhau kỷ niệm. Tựa như chiếc lá. Xanh xanh dịu hiền. Tìm trong cơn gió. Theo xuân trở về. Mùa xuân có hay. Hãy đến mùa xuân ơi. Cho nụ cười càng thêm trong sáng. Thắm thiết tình yêu thương. Bên bạn bè bên những em thơ. Hãy đến mùa xuân ơi. Trong nụ cười và trong ánh mắt. Vẫn mãi ngày xuân xanh. Như từng ngày. Bên những yêu thương. Hãy đến mùa xuân ơi. Cho nụ cười càng thêm trong sáng. Thắm thiết tình yêu thương. Bên bạn bè bên những em thơ. Hãy đến mùa xuân ơi. Trong nụ cười và trong ánh mắt. Vẫn mãi ngày xuân xanh. Như từng ngày. Bên những yêu thương
Mùa Xuân Ơi,Mây Trắng,Xuân xuân ơi xuân đã về. Có nỗi vui nào vui hơn ngày xuân đến. Xuân xuân ơi xuân đã về. Tiếng chúc giao thừa. Chào đón mùa xuân. Xuân xuân ơi xuân đến rồi. Cánh én bay về cho tim mình nao nức. Xuân xuân ơi xuân đến rồi. Những đóa mai vàng. Chào mừng xuân sang. Nghe âm vang bao câu chúc yên lành. Đất nước gấm hoa yên ấm an vui. Bao em thơ khoe áo mới tươi cười. Chào một mùa xuân mới. Xuân xuân ơi xuân đã về. Kính chúc muôn người. Với bao điều mong ước. Trong hương xuân ta vẫy chào. Kính chúc muôn nhà gặp nhiều an vui.. Xuân xuân ơi xuân đã về. Có nỗi vui nào vui hơn ngày xuân đến. Xuân xuân ơi xuân đã về. Tiếng chúc giao thừa. Chào đón mùa xuân. Xuân xuân ơi xuân đến rồi. Cánh én bay về cho tim mình nao nức. Xuân xuân ơi xuân đến rồi. Những đóa mai vàng. Chào mừng xuân sang. Nghe âm vang bao câu chúc yên lành. Đất nước gấm hoa yên ấm an vui. Bao em thơ khoe áo mới tươi cười. Chào một mùa xuân mới. Xuân xuân ơi xuân đã về. Kính chúc muôn người. Với bao điều mong ước. Trong hương xuân ta vẫy chào. Kính chúc muôn nhà gặp nhiều an vui. Xuân xuân ơi xuân đã về. Xuân xuân ơi xuân đã về. Xuân xuân ơi xuân đã về. Xuân xuân ơi xuân đã về
Mùa Xuân Quê Tôi,Huỳnh Minh Anh,Bài Hát: Mùa Xuân Quê Tôi. Ca Sĩ: Huỳnh Anh Minh. Mùa xuân quê tôi. Với bao điều vui. Trẻ con nao nức. đua nhau đi hội. Đoàn lân ca múa. Tụ tập đôi lứa. Người ngồi buôn dưa. Buôn hoa khắp phố phường. Mùa xuân năm nay. ước bao điều may. Ngập tràn hạnh phúc. Gia đình sum vầy. Nhà nhà xuống phố. Rộn ràng sắm tết. Chờ pháo hoa đêm giao thừa. Và từng nhành hoa khoe sắc thắm. Bầu trời đầy nắng. Cùng biển xanh ôi sao. Nghe mùa xuân tuyệt vời. Năm sang xin chúc. Mọi nhà sung túc. Cùng hát vang khúc nhạc xuân. Cầu mong năm mới nhiều may mắn. Tài lộc đầy ắp. Và mọi sự đều như ý. Năm sang xin chúc. Mọi nhà sung túc. Cùng hát vang lên. Khúc nhạc xuân. Mùa xuân quê tôi. Với bao điều vui. Trẻ con nao nức. đua nhau đi hội. Đoàn lân ca múa. Tụ tập đôi lứa. Người ngồi buôn dưa. Buôn hoa khắp phố phường. Mùa xuân năm nay. ước bao điều may. Ngập tràn hạnh phúc. Gia đình sum vầy. Nhà nhà xuống phố. Rộn ràng sắm tết. Chờ pháo hoa đêm giao thừa. Và từng nhành hoa khoe sắc thắm. Bầu trời đầy nắng. Cùng biển xanh ôi sao. Nghe mùa xuân tuyệt vời. Năm sang xin chúc. Mọi nhà sung túc. Cùng hát vang khúc nhạc xuân. Cầu mong năm mới nhiều may mắn. Tài lộc đầy ắp. Và mọi sự đều như ý. Năm sang xin chúc. Mọi nhà sung túc. Cùng hát vang lên. Khúc nhạc xuân. Và từng nhành hoa khoe sắc thắm. Bầu trời đầy nắng. Cùng biển xanh ôi sao. Nghe mùa xuân tuyệt vời. Năm sang xin chúc. Mọi nhà sung túc. Cùng hát vang khúc nhạc xuân. Cầu mong năm mới nhiều may mắn. Tài lộc đầy ắp. Và mọi sự đều như ý. Năm sang xin chúc. Mọi nhà sung túc. Cùng hát vang lên. Khúc nhạc xuân
Mùa Xuân Trở Về,"Sơn Ngọc Minh, Hari Won",Có giọt sương lấp lánh trên cành mai. Mai vàng nở mùa xuân. Nghe lòng ước mơ. Có người em mang dáng xuân về đây. Trên tà áo bờ môi xuân tràn đầy. Xuân ta nghe mùa xuân về. Có tình yêu năm tháng đã tàn phai. Như một sớm niềm vui. Ôi chợt ngốc nghếch. Dáng người tôi yêu dấu bao ngày qua. Ôi người đã về đây xuân tràn đầy. Kìa trời xanh phơi phới trong lòng tôi. Như tình yêu sẽ mãi. Không còn cách xa. Kìa nụ hoa. Hoa hồng nở bên nhà ai. Nghe lời ca dâng cao dâng cao. Niềm phơi phới. Xuân mang bao niềm vui tới. Xuân mang bao tình yêu tới. Nghe trong tim xốn xang. Ôi hạnh phúc tuyệt vời. Xuân thênh thang ngàn tia nắng. Xuân xua tan niềm cay đắng. Kìa lũ chim đến đây cùng ca hát. Có giọt sương lấp lánh trên cành mai. Mai vàng nở mùa xuân. Nghe lòng ước mơ. Có người em mang dáng xuân về đây. Trên tà áo bờ môi xuân tràn đầy. Xuân ta nghe mùa xuân về. Có tình yêu năm tháng đã tàn phai. Như một sớm niềm vui. Ôi chợt ngốc nghếch. Dáng người tôi yêu dấu bao ngày qua. Ôi người đã về đây xuân tràn đầy. Kìa trời xanh phơi phới trong lòng tôi. Như tình yêu sẽ mãi. Không còn cách xa. Kìa nụ hoa. Hoa hồng nở bên nhà ai. Nghe lời ca dâng cao dâng cao. Niềm phơi phới. Xuân mang bao niềm vui tới. Xuân mang bao tình yêu tới. Nghe trong tim xốn xang. Ôi hạnh phúc tuyệt vời. Xuân thênh thang ngàn tia nắng. Xuân xua tan niềm cay đắng. Kìa lũ chim đến đây cùng ca hát. Xuân mang bao niềm vui tới. Xuân mang bao tình yêu tới. Nghe trong tim xốn xang. Ôi hạnh phúc tuyệt vời. Xuân thênh thang ngàn tia nắng. Xuân xua tan niềm cay đắng. Kìa lũ chim đến đây cùng ca hát
Mùa Xuân Xa Quê,"Mai Thiên Vân, Hoài Lâm",Mình gặp nhau đây. Giữa buồn vui chuyện đời. Đôi lời tâm sự. Gửi trao suốt đêm thâu. Nơi quê hương tôi. Miền tây sông chín cửa. Quê tôi xa vời. Miền Trung cát trắng dương xanh. Sài Gòn xa hoa. Phố thị xuân lại về. Bao mùa xuân rồi. Mình xa cách quê hương. Đêm nay bên nhau. Mừng xuân trên gác nhỏ. Xuân mang hương nồng. Mà nghe sao quá não lòng. Đêm xuân tha phương. Lòng thương nhớ quê hương. Nhớ xưa giao thừa. Bên mẹ nấu bánh chờ xuân. Thương nơi quê xa. Ngày tháng cha mong chờ. Đàn em bé thơ dại khờ. Mong ước quà mừng ngày xuân. Gửi lời yêu thương. Chúc một năm thuận hoà. Bao người xa nhà. Đoàn viên lúc xuân sang. Xin mang yêu thương. Gửi trao cánh én nhỏ. Mơ xuân sum vầy. Tình xuân ấm áp tràn đầy. Mình gặp nhau đây. Giữa buồn vui chuyện đời. Đôi lời tâm sự. Gửi trao suốt đêm thâu. Nơi quê hương tôi. Miền tây sông chín cửa. Quê tôi xa vời. Miền Trung cát trắng dương xanh. Sài Gòn xa hoa. Phố thị xuân lại về. Bao mùa xuân rồi. Mình xa cách quê hương. Đêm nay bên nhau. Mừng xuân trên gác nhỏ. Xuân mang hương nồng. Mà nghe sao quá não lòng. Đêm xuân tha phương. Lòng thương nhớ quê hương. Nhớ xưa giao thừa. Bên mẹ nấu bánh chờ xuân. Thương nơi quê xa. Ngày tháng cha mong chờ. Đàn em bé thơ dại khờ. Mong ước quà mừng ngày xuân. Gửi lời yêu thương. Chúc một năm thuận hoà. Bao người xa nhà. Đoàn viên lúc xuân sang. Xin mang yêu thương. Gửi trao cánh én nhỏ. Mơ xuân sum vầy. Tình xuân ấm áp tràn đầy. Xin mang yêu thương. Gửi trao cánh én nhỏ. Mơ xuân sum vầy. Tình xuân ấm áp tràn đầy
Mùa Xuân Đầu Tiên,Lê Hồng Yến,"Rồi dặt dìu mùa xuân theo én về. Mùa bình thường mùa vui nay đã về. Mùa xuân mơ ước ấy. Đang đến đầu tiên. Với khói bay trên sông. Gà đang gáy trưa bên sông. Một trưa nắng vui cho bao tâm hồn. Rồi dặt dìu mùa xuân theo én về. Người mẹ nhìn đàn con nay đã về. Mùa xuân mơ ước ấy. Đang đến đầu tiên. Nước mắt trên vai anh. Giọt sưởi ấm đôi vai anh. Niềm vui phút giây như đang long lanh. Ôi giờ phút yêu quê hương làm sao. Trong xuân vui đầu tiên. Ôi giờ phút trong tay anh đầu tiên. Một cuộc đời êm ấm. Từ đây người biết quê người. Từ đây người biết thương người. Từ đây người biết yêu người. Giờ dặt dìu mùa xuân theo én về. Mùa bình thường, mùa vui nay đã về. Mùa xuân mơ ước ấy xưa có về đâu. Với khói bay trên sông. Gà đang gáy trưa bên sông. Một trưa nắng thôi hôm nay mênh mông. Rồi dặt dìu mùa xuân theo én về. Người mẹ nhìn đàn con nay đã về. Mùa xuân mơ ước ấy. Đang đến đầu tiên. Nước mắt trên vai anh. Giọt sưởi ấm đôi vai anh. Niềm vui phút giây như đang long lanh. Ôi giờ phút yêu quê hương làm sao. Trong xuân vui đầu tiên. Ôi giờ phút trong tay anh đầu tiên. Một cuộc đời êm ấm. Từ đây người biết quê người. Từ đây người biết thương người. Từ đây người biết yêu người. Giờ dặt dìu mùa xuân theo én về. Mùa bình thường, mùa vui nay đã về. Mùa xuân mơ ước ấy xưa có về đâu. Với khói bay trên sông. Gà đang gáy trưa bên sông. Một trưa nắng thôi hôm nay mênh mông"
